name,address,latitude,longitude,category,zone
AfricaWorks Lagos @ Victoria Island (VI),"16 Idowu Martins St, Eti-Osa, Victoria Island 124774, Lagos",6.4339977,3.4205686,coworking_space,A
EridanSpace Ikeja Lagos,"The Philippi Centre, Oluwalogbon House, Plot A Obafemi Awolowo Wy, Alausa, Ikeja",6.6132921,3.3545898,coworking_space,A
Agos Executive Business Lounge,"54b Adeniyi Jones, Oba Akran, Ikeja 101233, Lagos",6.6125652,3.3458567,coworking_space,A
989 Workspaces Ikeja,"43 Sobo Arobiodu Street Ikeja, Lagos 100212",6.5772527,3.3561108,coworking_space,A
Cranium One,"Plot 1 Towry Cl, Eti-Osa, Lagos 106104, Lagos",6.426286,3.412068,coworking_space,A
Lagos Innovates Center,"H8P4+32J, Rafiu Jafojo Park, Shasha Road, Ajako Bustop Alimosho, Lagos 100272",6.5852015,3.3050178,coworking_space,A
Coworkstyle Limited,"15 Ihuntayi Road, Oniru, Eti Osa 101241, Lagos",6.4295545,3.4448275,coworking_space,A
SpaceUnlimited Workspace,"76, Mobolaji Bank Anthony Way (Anthony Agbodji Office Complex, 1st floor left wing Ikeja, Lagos 100211, Lagos",6.5939715,3.3437175,coworking_space,A
SpaceUnlimited GRA,"14 Ayo Rosiji Cres, off Oduduwa Way, Ikeja, Lagos 100271, Lagos",6.5725574,3.3502632,coworking_space,A
989 Workspaces - Landmark Boulevard,"Landmark Village, Water Corporation Road, Oniru, VI, Lagos 106104, Lagos",6.4232533,3.4457543,coworking_space,A
Workcentral Alaka Estate Hub | Surulere | Lagos,"5 Alh. Tokan St, Alaka, Lagos 101283, Lagos",6.4925704,3.3636549,coworking_space,A
iCreative Writers Hub,"3 Emmanuel Onoji Cres, off Olokonla Road, Eti-Osa, Lagos 106104, Lagos",6.4732231,3.6101021,coworking_space,A
theBUNKer Yaba,"279 Herbert Macaulay Wy, Yaba, Lagos 101245, Lagos",6.5007182,3.377628,coworking_space,A
HUB30 Coworking Space,"29, 204 Road, 2nd Ave, Festac Town, Lagos 102312",6.4628383,3.2934209,coworking_space,A
Workcity Africa,"Workcity, Plot 1, Maruwa Bus Stop, 128 Remi Olowude St, Lekki Phase 1, Lagos 105102, Lagos",6.4298268,3.4689061,coworking_space,A
Hot-Desking by Cr8tive Workspace,"Shopping Mall, D22 Adeniran Ogunsanya St, Surulere, Lagos 000234, Lagos",6.4911014,3.3566864,coworking_space,A
The Nest Innovation Technology Park,"1A Hughes Ave, Yaba, Lagos 101212, Lagos",6.4992962,3.3766976,coworking_space,A
Workstation,"Lagos NG, 350 - 360 Ikorodu Rd, Maryland, Ikeja 100211",6.5666447,3.3670074,coworking_space,A
MusterPoint CoWorking Space,"Plot 49 Wemco Rd, Ogba, Ikeja 101233, Lagos",6.6316296,3.348881,coworking_space,A
Ajegunle Co-Working Hub,"101 Kirikiri Road, Opp Mobil Filling Station, Wilmer Bus stop, Apapa, Lagos 100211",6.4483597,3.3345696,coworking_space,A
989 Workspaces Standard Chartered Building Ahmadu Bello Way,"142 Ahmadu Bello Wy, Victoria Island, Lagos 101222, Lagos",6.4278921,3.4092542,coworking_space,A
TyWorkSpace,"17 Ibikunle St, Yaba, Lagos 100001, Lagos",6.5140461,3.3769924,coworking_space,A
OFFICE 33,"12D Wole Ariyo St, Lekki Phase 1, Lagos 105102, Lagos",6.4427536,3.4587236,coworking_space,A
The Workshop Arcade,"Plot 1, Banex Mall, Akiogun Rd, Oniru, Lekki 101243, Lagos",6.4329562,3.4570212,coworking_space,A
V8 Valley - Workspace,"7b Dr. S. Ezekuse Cl, Lekki Phase 1, Lagos 106104, Lagos",6.4508274,3.4722096,coworking_space,A
Glendale Workspaces,"4 Babatope Bejide Cres, Lekki Phase I, Lagos 106104, Lagos",6.4432793,3.4740538,coworking_space,A
EMERGEHub,"4 Ayanboye Street, Off Faramobi Ajike St, Anthony, Lagos",6.5622372,3.3697469,coworking_space,A
The Space Hq,"1 Bunmi Olowude Street Eti osa, Maruwa, Lekki Phase 1, Lagos",6.4289387,3.4674752,coworking_space,A
Cr8tivebox Co-Working Space,"Shopping Mall, E10 Adeniran Ogunsanya St, Surulere, Surelere 000234, Lagos",6.4910725,3.3566868,coworking_space,A
989 Workspaces Oniru,"Plot 120 Bosun Adekoya, New Market Road, Eti-Osa, Lagos 101222",6.4261252,3.4594119,coworking_space,A
TOPAS Hub,"2 Alh. Tokan St, Alaka, Lagos 101241, Lagos",6.4930448,3.3639719,coworking_space,A
TCS Business Hub,"Suite C213 and C214 Akord Shopping Mall, Bogije, Elemoro, Lagos 101283, Lagos",6.4761199,3.7569158,coworking_space,A
Venia Business Hub,"Plot 8 The Providence St, Lekki Phase I, Lekki 106104, Lagos",6.4311824,3.4629115,coworking_space,A
Ican-BOI Tech Hub,"82 Murtala Muhammed Way, Yaba, Lagos 100001, Lagos",6.4836251,3.3828691,coworking_space,A
ThinkSpace Coworking Space by Four Points Lagos,"Plot 9/10, Chieftaincy Estate, Block 2 Oniru Rd, Victoria Island, Lagos 106104, Lagos",6.4481273,3.433023,coworking_space,A
Workbay Onikan Lagos,"F1 Lagos City Mall Onikan, Island, Lagos 101231",6.4462669,3.4020748,coworking_space,A
Hub One,"10 Hughes Ave, Alagomeji-Yaba, Lagos 101011, Lagos",6.4993322,3.3772959,coworking_space,A
Smart X Business Hub - Co-working space in Ikeja,"16B Mobolaji Bank Anthony Way, Maryland, Lagos 101233, Lagos",6.5728769,3.3629495,coworking_space,A
"CubeHub - Coworking, Virtual and Serviced Offices - Adebola Centre, Lagos","38 Opebi road Adebola House (Suite 100, Rear Car Park Wing Ikeja, Lagos 100281",6.5911546,3.359383,coworking_space,A
33B Flexible Offices,"1B ALH. HUSSEIN SUNMONU STR, OFF Onikepo Akande St, Lekki Phase I, Lagos",6.4429294,3.4620846,coworking_space,A
Zahari Workspace,"Lagos, Plot 15 Orchid Rd, off Chevron Toll Gate, Eti-Osa, Lekki 105102, Lagos",6.4417842,3.5423305,coworking_space,A
ReDahlia,"43b Emina Cres, Allen, Ikeja 101233, Lagos",6.5962213,3.3543383,coworking_space,A
Wakeman Heights,"294 Borno Way, Alagomeji-Yaba, Lagos 101245, Lagos",6.4962824,3.3783278,coworking_space,A
Truspace Coworking,"6 Prince Bode Oluwo St, Mende, Lagos 100211, Lagos",6.5708443,3.3723934,coworking_space,A
Spacepad | Co Working Space And Serviced Private Office Space Lekki,"Km 18, Lekki Penninsula II, Lekki",6.4379857,3.5137467,coworking_space,A
989 Workspaces,"Block 12E, Admiralty Way Opposite Ascon Petrol Station Eti Osa, Lekki Phase 1, Lagos",6.447404,3.4808941,coworking_space,A
Ally Hub,"15 Ramat Cres, Ogudu, Lagos 105102, Lagos",6.5730386,3.3910247,coworking_space,A
Avalanche Spaces,"33 Saji Ayangade St, Anthony, Lagos 105102, Lagos",6.5639512,3.3725247,coworking_space,A
The White Workshop,"7 Ajagbe Compound, Sari-Iganmu Rd, Iganmu, Lagos 102232",6.476195,3.3463614,coworking_space,A
MyWorkSpace,"BADEJO AKINYEMI HOUSE 17/19 Badejo / Akinyemi Crescent Off Fatai Atere Way Matori Industrial Estate, Ladipo St, Matori, Lagos 023401",6.5395658,3.3502163,coworking_space,A
OfficePhase -Serviced Offices Nigeria,"60/64 Allen Avenue, by Adeboye Solanke Avenue, First Bank Bus Stop First Building (Right) on Adeboye Solanke Ikeja, Allen, Lagos 100281",6.6025314,3.3519584,coworking_space,A
Innovation Centre Lekki,"29 Awudu Ekpekha Blvd St, Lekki Phase 1, Lagos 106104, Lagos",6.4453336,3.4783081,coworking_space,A
The Stage Cowork Space,"21 Ngyesi Ibrahim Tella Street, Oral Esate, Lekki , Lagos, Lekki - Epe Expy",6.4413774,3.5465945,coworking_space,A
THE RESOURCE SPACE,"12A Mabinuori Dawodu St, Gbagada, Lagos 102216, Lagos",6.54873,3.376688,coworking_space,A
The Professional Place,"12b Olumoroti Jaiyesimi Street, Gbagada Phase 2 Estate, Gbagada Expy, Gbagada, Lagos",6.5462296,3.3839461,coworking_space,A
Moore House,"151 Herbert Macaulay Wy, Adekunle, Lagos 101245, Lagos",6.4916122,3.3820001,coworking_space,A
Battens Hub,"Local Government, 44 Ogunlana Dr, Surulere, Lagos 101283, Lagos",6.5092554,3.3526639,coworking_space,A
47WORKSPACES,"G, R.A, Ikeja Lagos NG, 47 Isaac John St, +2348033079003, Ikeja 100271",6.5846639,3.3568731,coworking_space,A
Desk at The Bulb,"39, Ikorodu road, Jibowu, Yaba, Lagos 100252",6.5187145,3.3678912,coworking_space,A
Metro Workplace,"Plot 1392 Tiamiyu Savage St, Victoria Island, Lagos 106104, Lagos",6.4237408,3.4267132,coworking_space,A
The Incubator,"7/8 Chief Yusuf, Abiodun Akinyemi Way, Eti-Osa, Lagos",6.428889,3.44451,tech_hub OR incubator,A
"Vatebra Tech Hub, Ajah","Royal Office Building KM 25 Lekki - Epe Expressway Ajiwe Eti-osa Ajiwe, Ajah, Ajiwe, Lagos 101245",6.4694244,3.5823763,tech_hub OR incubator,A
Techub Connect Nigeria,"Connak Place 19 Akinremi St, Off Obafemi Awolowo Wy, Ikeja, Lagos",6.5985782,3.3377303,tech_hub OR incubator,A
Technology Incubation Centre,"1 Oba Ogunji Rd, Ijaiye, Lagos 102212, Lagos",6.6285435,3.3259949,tech_hub OR incubator,A
Tech-hub telecom,"Iyana Aboru Bus Stop, 2 Ige Street, Ipaja Rd, Alimosho, Iyana ipaja 300001",6.6172297,3.2973337,tech_hub OR incubator,A
Impact Hub Lagos,"22 Glover Rd, Ikoyi, Lagos 106104, Lagos",6.4553064,3.4303431,tech_hub OR incubator,A
InstinctHub,"1 Apapa Lane, Dolphin Estate, Ikoyi, Lagos 101233",6.4575294,3.4114863,tech_hub OR incubator,A
Ican-BOI Tech Hub,"82 Murtala Muhammed Way, Yaba, Lagos 100001, Lagos",6.4836251,3.3828691,tech_hub OR incubator,A
Enterprise Hubs,"16a Trinity Ave, Eti-Osa, Lagos 106104, Lagos",6.4240557,3.4512232,tech_hub OR incubator,A
Tech Hub,"2 Francis Oremeji street computer village Ikeja, Ikeja, Lagos",6.5935591,3.3391045,tech_hub OR incubator,A
Adjacent Tech Hub & Coworking,"139 Idiroko Rd, Ota 112233, Ogun State",6.6895358,3.2270212,tech_hub OR incubator,A
TechSteam Hub,"27Shonola Street, Ojodu, Lagos 100218, Lagos",6.6469876,3.3650792,tech_hub OR incubator,A
Ehizua Hub,"6, Hon Fatai Eletu Street, Container Bus Stop, Awoyaya, Lekki, Lagos 105101",6.4709507,3.6973583,tech_hub OR incubator,A
Outhub Technology Limited,"15b Onibeju St, shangisha, Ikeja 100001, Lagos",6.6165981,3.3749777,tech_hub OR incubator,A
ITECH HUB,"2nd Floor, Jesan House , Oko ado bus stop beside leawood hot, Ajah, Lekki Lagos Etiosa3 Lagos Lagos NG, Lekki 101001",6.469842,3.585172,tech_hub OR incubator,A
Tech-Hub Naija,"3 Enyi Arinze St, Ilasamaja, Lagos 102214, Lagos",6.5145243,3.3025918,tech_hub OR incubator,A
