name,address,latitude,longitude,type,zone,google_logo_url
AfricaWorks Lagos @ Victoria Island (VI),"16 Idowu Martins St, Eti-Osa, Victoria Island 124774, Lagos",6.4339977,3.4205686,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJ_-zFYHOohV27CBi3bEhvMJNCKnWlbZ-oyGPdd55NZlr8b37ztEy7leyKHeoLzlW0sAE2FQk02IzB5Mm6sXi8iryGDSk1yS5CN7kU69oOOvKbdb9hP41JO68Jc4nKzeMNfp5VKUzjnl5-37wOoYBaI40Zi3zXCMs7ea_rwTFlTbY4p1XgUlPnVvbJhb8A8NczPo_Z64V2-IkUm-3NVOpucuQJCMNPpO9HhgEApYfsi--IRvjnTa9i9mscmqtOKnoPv496V6Gxv9dNcMy-dd7t8gYq_vWtwPGCQEnBElMW_PcP6MEdnbU0VQv0co_ID5PSVT7m3g5c&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
EridanSpace Ikeja Lagos,"The Philippi Centre, Oluwalogbon House, Plot A Obafemi Awolowo Wy, Alausa, Ikeja",6.6132921,3.3545898,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJN9fn-a1z5thqkiwa8aHuSi4Xg8J3OKoE9G6eU5GNdvrXDFGVFMcFlVJl2yhVyacagXehlDKGvCpadX2EId2k1IkYfWdEwPshYhdz13b4om3tP_qqv46LlpEfoa-Ub2he_WOeRafQAIfz2a02QgQK_0I0zeSUs3OCRRnpGPPs2lADiRmsZ6BRzcGV26nJRvz7Z_tlUAmk_3Noywqx0RPzuMH6kt5aOxqm6_YK17shbE1q6JxCd875Xhb-2G87P7Bb-q1DYvxPSprmwX8Xee1YpioFqWQ3R4UcJQ4gvHjqn80ZNcFvT-F0k5LUq28mXAHkYsHwsE-k&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Agos Executive Business Lounge,"54b Adeniyi Jones, Oba Akran, Ikeja 101233, Lagos",6.6125652,3.3458567,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcJjaWVk9kHYeW75Q9tcPtXIj3jt46E0X5dKH932YZoPjwGM3zsNhTibhpK0f4mY9CODwcJrRrRPJKijEnLjsvgb-lM7Eu2WKIb2M83H7gmH35lDweKUk0O60Ewbe-Qg5Lsruj7Gw9rlqw8rdoAse9tnFEDTTLUqoZWgW4k7TPvzduhz-YphV8PpwGCeIREF8IBTgIhZMXZhz_9KbqRiqRW3Ap94gA5Iccirw4Hno9WHV70h8AEuMJUVjFo6AAtdGmLsJmJIkQXHLSmB-sqtqIIyitHAWlTqr0ZeOJ0FdWaF8y_WGQMBNK4zH5cnLO5qNBadl1ZfNac&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
989 Workspaces Ikeja,"43 Sobo Arobiodu Street Ikeja, Lagos 100212",6.5772527,3.3561108,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcIz7lNecden-3icuiligzFYBWfUtdw7SHEs3YGz-bdIeep7HSJeMHpOr4agantqP1Pxc1-nVYBDsFB10r-1PCKN88ep1y4z3psfHskK8ZMYp7BG63d1ZRX9JeoH6OxKTYnFZ4OrBkOS8nHDaGNNSC4f5JErnHM1oyPA5i8UVXZzEO-eZhua4aotJGtTgZ8mYobiM-JhfIs0dThvW5dErgT1AodiXnmHZOQSD7SUZRw9oCH9L765-VsnLlD_GBn3Xj9j3zQ9AwyptJzULzIZ8ZJy_G4FfjDvU_K9NE-1gFf5gq_Myva5DxdkPRDxCXX2zBUzevMowxs&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Cranium One,"Plot 1 Towry Cl, Eti-Osa, Lagos 106104, Lagos",6.426286,3.412068,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcKJgBKs1VpnWSpG5ejjIQONJkkH5ySt8z8W96PBpuR42hwZ2TsACzOVwcojSrPI1hdzXTuYkE6E6GzxZI86X1_7qd4z1C-nnobPqSRhUbKuKIcUul3U2ktrwvsARCYTAGoNFg70EGbTKM13_3GjXCgloPiuCcvBp5SqYWaw1EwxqSh-Nh4mbzoqGbenghfsJwfUM6F1tlQHqW_Bgs5CtKKA95UNeG3_TBJ2YxLya3wUvtotnlZpmshU9JDniejdLj8gszUEPkNsxQbOHbAWTmb__EHKOVtPHZjT1VwAFMQ7BXRSZGlrJIjyZ82XznTZUsKTurrAdCMwjVEd-wJt1W0TKEsyEQFdTm_Cjm3kqV2_pqN3P3gU4YYR-fuOQpIP-ax2MxSv6x650T6jxdDdNBd9jDk_lUMF9TlYLObk9EDTU5h9LFqFdPBRbjH2hhS6J4uGR4J5_QLIjugcRGBG8icV8scNetXpjniYSmvejGwl6mbWxoVLXRug2cKRx2i6vitbS393dkFvQW-oOPNPuAxeBP3CvfANURmIA2MMzcN-4vjbVfML98mZWfKZ1c-QsOxvl7aJjOgKTuNIXizKHxbevoo3d4WkHCcZ-4asSpmtGdXfttpKiglA4Gi31OLjvcKVQ9K1&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Lagos Innovates Center,"H8P4+32J, Rafiu Jafojo Park, Shasha Road, Ajako Bustop Alimosho, Lagos 100272",6.5852015,3.3050178,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcITeedpv6i33uKIShsUVSfmn0SZgKcItZawrCCmiuIRYr0vScsxhzPx9Hw0WM8eCX5k9dmkX0LqK_69W13AogV3vsQJt4ISkZD9TidZaPc57ynJfQpfh7SuIjLyKRvYzJxIauZELj6v4fvu1PBXwe00q1LEFU4MDWs5Y2H_18aet1DFOavaSk9HVjf8kaQqkoYC979JLSBNiSrbynfyJk327jgDvOngp1Nxkvno58JrW77wIJt7dFysexrWBpnHBLboZdcrMjdVMO4yFogwO3V7npkvdfK7Kubc6wnYr4c3xLCI1v-NDol4R0CftLQmr2LEQbkpxaNxzqWPsK4yEJDkQ-ZL8O6eJs728EuXm8JUaGNWD0-HCNyk8BO1jLgmUDvWcRbaoyKm28DYm0U5pd2hr_0eUSH52_9j9RQVJ6q_cydJ-NaAC7YZ-HHgPG2q9knPjTtwMNCdsfDm7w9W2mWrei1FLGD-VTwoI-y7RVoIiRvw2eyH4uB71vVBiM40tJ_wTNUzAd2PfwM-Qmnk5CsDU0CrgBQhvOkKHaKqQ6s1aEnz9Z0Tt0chxsWFL3_P8ybldaDu9cBJb1tsm1_f7uoANHkSiqfIgQbcX5TU_sz-TQGqRvuFzAyC519HFqVdWRkRBw&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
Coworkstyle Limited,"15 Ihuntayi Road, Oniru, Eti Osa 101241, Lagos",6.4295545,3.4448275,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcKWmo9gV3DQ3hI-kUcO-krbsdzUPyeMTqL8efrVyJnd2aInt-C2MkDVocTYnm8U6cH5z1_yvGjm44yGIwr_4X6QUlXS-G7K3MnzG46FoIpy5kSAx4uNGr0jYIOft_5puPS_UNxnVv7aFz3X6VNEdtdPnJ8eTcUz_CIafNisJOPOo9X-Cs0bJ035qHmZXkVp_ijKsSu5uyyWliU1HNvG_LX9ZzbfTET2yn-lqxr2DHbYUXuNAyxZxyo8WEB4LX0QI7nr5FkPGnKaknfsrSrZB5148keuaw9HSIAJiXS_c7ptHubJWFxZuTaV4ir7M7f3Hnqn1PhwnQg&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
SpaceUnlimited Workspace,"76, Mobolaji Bank Anthony Way (Anthony Agbodji Office Complex, 1st floor left wing Ikeja, Lagos 100211, Lagos",6.5939715,3.3437175,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcKhnQPdne2DMsFC1rp1OHShHc_ScOdlkoQzcZliYpHG31TLhwUGPBFkvsErd99K9s_1bHKPRxq4KvgGYDIt4lCqkXyyMvEuiJJEmvqp2aHRdc9UPOO39qfz15wy66gN0b9HXyU7Qr56ni1SAJgJWSl39pZ-5UUs29y1MYx5jKKWhEjEPg92zGNoZjJyfJ6XgMauAImJNG2zkij_KFGI6ivsQ4KSxZrKs5bTWzOSuoqBAcdfgyPr_tVYGZBiRREmaNcKTZRczWmHQG7Ji-jwFKjPbsSqZ5Q4e5bONkiZYJaqY89tK5nQGxhgGjAx4KAFPKR0xeU6KMY&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
SpaceUnlimited GRA,"14 Ayo Rosiji Cres, off Oduduwa Way, Ikeja, Lagos 100271, Lagos",6.5725574,3.3502632,coworking_space,A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AeeoHcI75YqwjdTIdSftz_FfP_9j70dF2tGUgMDi1gIYekpBbuoG893yNzam16vowaHjMK0JYdAGvTdvHa-D0dSTOUTy_co_ij8eGkf3lLliwXd7aw4d9J8Os1W14WCysM3aA3Jv-Z5k6qw2GKWBI6BMAd8uUy6SfwaQE96cTW41ebREl6X2xHZJOnsNXfdUlYXghX7sB1GJl6cEXFczBc61uJNILb4X5TS31VvGnMNEpuJzKAIYLEbLaGyGwAH07oPyoYfNnH1KgdtNeaqlWEAiodieBCAILE7opTVqgQ2vHjVh0skGD9xOFXL-qDHBdx4rXjAiUlIIoCE&key=AIzaSyDeyDdm1cUVDQrJy5EojJ9kCFr4Hs_fIWo
989 Workspaces - Landmark Boulevard,"Landmark Village, Water Corporation Road, Oniru, VI, Lagos 106104, Lagos",6.4232533,3.4457543,coworking_space,A,
