name,address,phone,google_logo_url,type,latitude,longitude,Full Address
EducraftWorld,"75, Sijuwola street, Lagos, Lagos, Nigeria",2.34708E+12,https://www.businesslist.com.ng/img/ng/m/_1583954369-12-educraftworld.gif,others,6.503688878,3.31356408,"Sijuwola Street, Oshodi/Isolo, Lagos, 102102, Nigeria"
Lensol Nigeria Limited / G-Trac Services Limited,"32 okota road, Lagos, Lagos, Nigeria",8033346418,https://www.businesslist.com.ng/img/ng/z/_1502876904_51293.png,others,6.508135706,3.321943865,"Okota Road, Oshodi/Isolo, Lagos, 102102, Nigeria"
Fiberone Broadband,"14, Allen Avenue, Ikeja, Lagos State, Nigeria",+234 908 798 1900,https://www.businesslist.com.ng/img/ng/d/_1552649725-83-fiberone-broadband.gif,others,6.60163849,3.352051473,"Allen Avenue, Oregun, Alausa, Ikeja, Lagos, 100282, Nigeria"
Afrinvest West Africa Limited.,"27, Gerrard Road, Ikoyi, Lagos, Lagos, Nigeria",+234 1 2701680,https://www.businesslist.com.ng/img/ng/z/_1455714970_61579.jpg,others,6.459977065,3.434009156,"Gerrard Road, Ikoyi, Falomo, Eti Osa, Lagos, 101222, Nigeria"
Softamos Resources,"53 Dopemu Road Agege Lagos, Nigeria",7033225021,https://www.businesslist.com.ng/img/ng/n/_1425107575-52-softamos-resources.png,others,6.617354627,3.312872886,"Dopemu Road, Akowonjo, Agege, Lagos, 100276, Nigeria"
Earn Money Kit,"Lagos, Nigeria",8051726017,https://www.businesslist.com.ng/img/ng/s/_1467921120-37-pathealth.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Librazain Entp Ltd,"17, Odewale street, Alausa, Lagos, Lagos, Nigeria",8167703168,https://www.businesslist.com.ng/img/ng/h/_1560250562-19-librazain-entp-ltd.png,others,6.611226236,3.355857412,"Odewale Street, res1, Oregun, Alausa, Ikeja, Lagos, 100581, Nigeria"
Stallion Group of Companies,"179, Akin Adesola street, Victoria Island Lagos, Nigeria",+234 1 261 1974,https://www.businesslist.com.ng/img/ng/b/_1543244110-44-stallion-group-of-companies.jpg,others,6.430785273,3.423977814,"Akin Adesola Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
Tolaram Group,"44, Eric Moore Road, Surulere, Lagos, Lagos, Nigeria",+234 805 509 6600,https://www.businesslist.com.ng/img/ng/g/_1605808876-90-tolaram-group.png,others,6.483723458,3.357468095,"Eric Moore Road, Surulere, Iganmu, Surulere, Lagos, 102215, Nigeria"
Delta State Liaison Office,"19 Karimu Kotun St, Victoria Island, Lagos, Nigeria",+234 9 314 4371,https://www.businesslist.com.ng/img/ng/j/_1606982005-20-delta-state-liaison-office.png,others,6.427412198,3.425622485,"Karimu Kotun Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
Haier Thermocool (Showroom),"26, Randle Avenue, Surulere, Lagos, Lagos, Nigeria",+234 803 482 6206,https://www.businesslist.com.ng/img/ng/h/_1604944187-55-haier-thermocool-showroom.jpg,others,6.508461695,3.356957731,"Randle Avenue, Surulere, Lagos, 102215, Nigeria"
brvcase,"70 Palm Avenue, Mushin 110011, Lagos, Nigeria",0802 718 0715,https://www.businesslist.com.ng/img/ng/x/_1695940878-38-brvcase.png,others,6.53630584,3.353640152,"Palm Avenue, Mushin, Lagos, 100231, Nigeria"
Chateau Royal Real Estate,"33B Akin Adesola St, Victoria Island 106104, Lagos, Nigeria",+234 08090 194 101,https://www.businesslist.com.ng/img/ng/d/_1695940827-46-chateau-royal-real-estate.jpg,others,6.43790665,3.4247131,"Akin Adesola Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
"Command Secondary, School, Ipaja. Lagos State","Alimosho, Lagos, Nigeria",+234 1 700 0969,https://www.businesslist.com.ng/img/ng/b/_1605818926-66-command-secondary-school-ipaja-lagos-state.jpg,others,6.58438825,3.257587569,"Alimosho, Lagos, 100276, Nigeria"
DropBuddies,"14 Idowu Martins St, Victoria Island 106104, Lagos, Nigeria",2.3491E+12,https://www.businesslist.com.ng/img/ng/f/_1695941757-64-dropbuddies.jpg,others,6.432899708,3.420003218,"Idowu Martins Street, Victoria Island, Eti Osa, Lagos, 500001, Nigeria"
Elalan,"9 Macgregor Rd, Ikoyi 106104, Lagos, Nigeria",+234 815 096 5387,https://www.businesslist.com.ng/img/ng/m/_1695946098-42-elalan.png,others,6.451950376,3.422848566,"Macgregor Road, Ikoyi, Falomo, Eti Osa, Lagos, 101222, Nigeria"
Enterscale,"Lagos, Nigeria",+234 803 200 0247,https://www.businesslist.com.ng/img/ng/n/_1695940769-87-enterscale.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Evaloaded,"Awolowo Rd, Ikoyi 101233, Lagos, Nigeria",0814 828 7274,https://www.businesslist.com.ng/img/ng/g/_1695940920-98-evaloaded.jpg,others,6.444423183,3.424703363,"Awolowo Road, Ikoyi, Falomo, Eti Osa, Lagos, 500001, Nigeria"
Fintech Associates,"18 Olusegun Aina St, Parkview Estate 106104, Lagos, Nigeria",-70883896,https://www.businesslist.com.ng/img/ng/e/_1695946035-42-fintech-associates.png,others,6.463602474,3.443645571,"Olusegun Aina Street, Parkview Estate, Falomo, Eti Osa, Lagos, 105102, Nigeria"
Johnson & Johnson Nig. Ltd.,"2 Commercial Rd. Apapa Lagos , Nigeria",+234 1 587 6319,https://www.businesslist.com.ng/img/ng/d/_1605556367-77-johnson-johnson-nig-ltd.png,others,6.438408606,3.372812601,"Commercial Road, Ilado, Apapa, Lagos, 101001, Nigeria"
Oguntoye & Oguntoye,"12A Sir Samuel Manuwa St, Victoria Island 106104, Lagos, Nigeria",+234 803 552 5261,https://www.businesslist.com.ng/img/ng/a/_1695946088-46-oguntoye-oguntoye.jpg,others,6.43910935,3.436857,"Sir Samuel Manuwa Street, Victoria Island, Itirin, Eti Osa, Lagos, 101243, Nigeria"
Royal Salt Ltd,"10 Adele Rd. Apapa Lagos , Nigeria",+234 1 545 1512,https://www.businesslist.com.ng/img/ng/k/_1606408346-47-royal-salt-ltd.jpg,others,6.440446431,3.369504718,"Adele Road, Ilado, Apapa, Lagos, 101001, Nigeria"
Savante Consulting,"6 Broad St, Lagos Island 100114, Lagos, Nigeria",+234 12 91 6035,https://www.businesslist.com.ng/img/ng/b/_1695941888-72-savante-consulting.jpg,others,6.44903505,3.394557458,"Old Government Printing Press, 6, Broad Street, Lagos, Lagos Island, Lagos, 100242, Nigeria"
Scib Nigeria Insurance Brokers,"64 Adeniran Ogunsanya Street, Surulere, Lagos, Nigeria",+234 1 4615234 5,https://www.businesslist.com.ng/img/ng/h/_1695940301-36-scib-nigeria-insurance-brokers.jpg,others,6.494317491,3.357352432,"Adeniran Ogunsanya Street, Surulere, Animashawun, Surulere, Lagos, 102215, Nigeria"
Sendchamp,"142 Ahmadu Bello Way, Victoria Island 101241, Lagos, Nigeria",+234(0) 18880261,https://www.businesslist.com.ng/img/ng/e/_1695940699-48-sendchamp.jpg,others,6.422556785,3.411398718,"Ahmadu Bello Way, Victoria Island, Eko Atlantic, Eti Osa, Lagos, 101241, Nigeria"
Sunflag (Nig.) Ltd.,"28 Eric Moore Rd., Iganmu, Lagos, Lagos, Nigeria",+234 1 583 0650,https://www.businesslist.com.ng/img/ng/a/_1618257626-28-sunflag-nig-ltd.png,others,6.483723458,3.357468095,"Eric Moore Road, Surulere, Iganmu, Surulere, Lagos, 102215, Nigeria"
Task Systems,"NIGERIA, Lagos",(234) 262 60 56,https://www.businesslist.com.ng/img/ng/k/_1695940413-81-task-systems.jpg,others,6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
Terragon Group,"2 Ahmed Onibudo St, Victoria Island 106104, Lagos, Nigeria",2.34814E+12,https://www.businesslist.com.ng/img/ng/j/_1695946007-61-terragon-group.jpg,others,6.435496236,3.428422679,"Ahmed Onibudo Street, Victoria Island, Itirin, Eti Osa, Lagos, 500001, Nigeria"
